"variable_id","title","description","register_type","register_address","usable_address","divisor","factor","unit","variable_size","rest_writable","minimum_raw","maximum_raw","default_raw","included_in_definition","mqtt_topic"
794,"Status, relay 4 (S135)","","input",368,true,1,1,"","u8",false,0,0,0,false,""
795,"Status, relay 3 (S135)","","input",369,true,1,1,"","u8",false,0,0,0,false,""
796,"Status, relay 2 (S135)","","input",370,true,1,1,"","u8",false,0,0,0,false,""
797,"Status, relay 1 (S135)","","input",371,true,1,1,"","u8",false,0,0,0,false,""
798,"Status, relay 0 (S135)","","input",372,true,1,1,"","u8",false,0,0,0,false,""
799,"Pump speed (S135)","","input",373,true,1,1,"%","u8",false,0,0,0,false,""
800,"Selected fan speed","","input",374,true,1,1,"%","u8",false,0,0,0,false,""
802,"Version (S135)","","input",376,true,1,1,"","u16",false,0,0,0,false,""
818,"Seconds of blank time left, charge pump 8","","input",385,true,1,1,"","u8",false,0,0,0,false,""
819,"Seconds of blank time left, charge pump 7","","input",386,true,1,1,"","u8",false,0,0,0,false,""
820,"Seconds of blank time left, charge pump 6","","input",387,true,1,1,"","u8",false,0,0,0,false,""
821,"Seconds of blank time left, charge pump 5","","input",388,true,1,1,"","u8",false,0,0,0,false,""
822,"Seconds of blank time left, charge pump 4","","input",389,true,1,1,"","u8",false,0,0,0,false,""
823,"Seconds of blank time left, charge pump 3","","input",390,true,1,1,"","u8",false,0,0,0,false,""
824,"Seconds of blank time left, charge pump 2","","input",391,true,1,1,"","u8",false,0,0,0,false,""
825,"Seconds of blank time left, charge pump 1","","input",392,true,1,1,"","u8",false,0,0,0,false,""
832,"Alarm number from outdoor air heat pump (EB101)","","input",400,true,1,1,"","u8",false,0,0,0,true,"heatpump/alarmnumber"
834,"Fan speed (EB101)","","input",401,true,1,1,"rpm","u16",false,0,0,0,true,"heatpump/fanspeed"
835,"Max fan speed (EB101)","","input",402,true,1,1,"rpm","u16",false,0,0,0,false,""
836,"Min fan speed (EB101)","","input",403,true,1,1,"rpm","u16",false,0,0,0,false,""
837,"Max compressor speed (EB101)","","input",404,true,10,0.1,"Hz","u16",false,0,0,0,false,""
838,"Min compressor speed (EB101)","","input",405,true,10,0.1,"Hz","u16",false,0,0,0,false,""
839,"Generated power heating (EB101)","","input",406,true,10,0.1,"kW","u16",false,0,0,0,false,""
840,"Time to defrosting (EB101)","","input",407,true,1,1,"min","u16",false,0,0,0,true,"heatpump/timetodefrosting"
841,"Defrosting index (EB101)","","input",408,true,1,1,"","u16",false,0,0,0,true,"heatpump/defrostingindex"
842,"Superheat reference EEV (EB101)","","input",409,true,10,0.1,"°C","s16",false,0,0,0,false,""
